date,index_value,spy_value,tickers,spy_close,daily_return,spy_return,cumulative_return,rolling_volatility,rolling_beta_7d,rolling_max,drawdown,turnover,exposure_similarity
2025-05-14,323.0029,5892.5801,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'TSLA' 'AVGO' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'XOM' 'ORCL' 'COST' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'PLTR' 'CRM' 'UNH' 'TMUS' 'PM' 'WFC' 'CSCO' 'CVX' 'IBM'
 'GE' 'ABT' 'MCD' 'NOW' 'AXP' 'MS' 'LIN' 'DIS' 'ISRG' 'ACN' 'T' 'UBER'
 'GS' 'MRK' 'INTU' 'VZ' 'PEP' 'RTX' 'ADBE' 'TXN' 'BKNG' 'QCOM' 'CAT' 'PGR'
 'SCHW' 'SPGI' 'BA' 'TMO' 'BSX' 'BLK' 'SYK' 'NEE' 'TJX' 'C' 'AMGN' 'AMAT'
 'HON' 'UNP' 'DE' 'DHR' 'ETN' 'CMCSA' 'LOW' 'PANW' 'COF' 'PFE' 'ADP'
 'ANET' 'GILD' 'GEV' 'COP' 'KKR' 'CB' 'ADI' 'MMC' 'CRWD' 'LRCX' 'BX'
 'VRTX' 'MDT' 'MU' 'KLAC' 'FI' 'LMT' 'APH' 'PLD']",5892.580078125,0.0,0.0,0.0,,,323.0029,0.0,0,1.0
2025-05-15,325.5233,5916.9302,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'TSLA' 'AVGO' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'XOM' 'COST' 'ORCL' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'PLTR' 'CRM' 'TMUS' 'PM' 'CSCO' 'IBM' 'UNH' 'WFC' 'GE'
 'CVX' 'ABT' 'MCD' 'NOW' 'LIN' 'MS' 'AXP' 'DIS' 'ACN' 'ISRG' 'T' 'UBER'
 'GS' 'MRK' 'INTU' 'VZ' 'RTX' 'PEP' 'ADBE' 'TXN' 'BKNG' 'QCOM' 'PGR' 'CAT'
 'SCHW' 'SPGI' 'BA' 'BSX' 'TMO' 'NEE' 'BLK' 'SYK' 'TJX' 'AMGN' 'HON' 'C'
 'AMAT' 'DE' 'UNP' 'DHR' 'CMCSA' 'LOW' 'PANW' 'PFE' 'ETN' 'ADP' 'COF'
 'GILD' 'ANET' 'CB' 'GEV' 'COP' 'ADI' 'MMC' 'KKR' 'VRTX' 'MDT' 'LMT'
 'LRCX' 'CRWD' 'BX' 'MU' 'KLAC' 'APH' 'PLD' 'ICE']",5916.93017578125,0.007803025917104689,0.004132332074135769,0.007803025917104689,,,325.5233,0.0,2,0.9801980198019802
2025-05-16,328.5018,5958.3799,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'TSLA' 'AVGO' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'XOM' 'COST' 'ORCL' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'PLTR' 'CRM' 'TMUS' 'PM' 'UNH' 'CSCO' 'IBM' 'WFC' 'GE'
 'CVX' 'ABT' 'MCD' 'NOW' 'LIN' 'MS' 'AXP' 'DIS' 'ISRG' 'T' 'ACN' 'UBER'
 'MRK' 'GS' 'INTU' 'VZ' 'RTX' 'PEP' 'ADBE' 'BKNG' 'TXN' 'PGR' 'QCOM' 'CAT'
 'SCHW' 'SPGI' 'BSX' 'TMO' 'BA' 'NEE' 'BLK' 'SYK' 'TJX' 'AMGN' 'DE' 'HON'
 'C' 'DHR' 'UNP' 'AMAT' 'CMCSA' 'LOW' 'PFE' 'ADP' 'ETN' 'PANW' 'GILD'
 'COF' 'ANET' 'CB' 'GEV' 'COP' 'MMC' 'VRTX' 'ADI' 'KKR' 'MDT' 'MU' 'CRWD'
 'LMT' 'LRCX' 'BX' 'APH' 'KLAC' 'PLD' 'ICE']",5958.3798828125,0.009149882665849152,0.007005272294898557,0.01702430535453403,,,328.5018,0.0,0,1.0
2025-05-19,329.7979,5963.6001,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'TSLA' 'AVGO' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'XOM' 'COST' 'ORCL' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'PLTR' 'UNH' 'TMUS' 'CRM' 'PM' 'CSCO' 'GE' 'IBM' 'WFC'
 'CVX' 'ABT' 'MCD' 'LIN' 'NOW' 'MS' 'AXP' 'DIS' 'T' 'ISRG' 'ACN' 'UBER'
 'MRK' 'INTU' 'GS' 'VZ' 'RTX' 'ADBE' 'PEP' 'BKNG' 'TXN' 'PGR' 'QCOM' 'CAT'
 'SCHW' 'SPGI' 'BSX' 'TMO' 'BA' 'BLK' 'SYK' 'NEE' 'TJX' 'AMGN' 'HON' 'DE'
 'C' 'DHR' 'UNP' 'AMAT' 'CMCSA' 'LOW' 'GILD' 'PFE' 'ADP' 'PANW' 'ETN'
 'COF' 'GEV' 'ANET' 'CB' 'MMC' 'COP' 'VRTX' 'KKR' 'MDT' 'ADI' 'CRWD' 'MU'
 'LMT' 'LRCX' 'BX' 'APH' 'KLAC' 'PLD' 'ICE']",5963.60009765625,0.003945488274341269,0.0008761131291423752,0.021036962826030514,,,329.7979,0.0,0,1.0
2025-05-20,329.5681,5940.46,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'TSLA' 'AVGO' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'COST' 'XOM' 'ORCL' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'UNH' 'PLTR' 'CRM' 'TMUS' 'PM' 'CSCO' 'GE' 'IBM' 'WFC'
 'CVX' 'ABT' 'MCD' 'LIN' 'NOW' 'AXP' 'MS' 'DIS' 'T' 'ISRG' 'ACN' 'MRK'
 'UBER' 'INTU' 'VZ' 'GS' 'RTX' 'PEP' 'ADBE' 'BKNG' 'TXN' 'QCOM' 'PGR'
 'CAT' 'SCHW' 'SPGI' 'BSX' 'BA' 'TMO' 'BLK' 'NEE' 'TJX' 'SYK' 'AMGN' 'HON'
 'DE' 'C' 'DHR' 'UNP' 'GILD' 'PFE' 'AMAT' 'CMCSA' 'ADP' 'PANW' 'LOW' 'ETN'
 'COF' 'GEV' 'ANET' 'CB' 'VRTX' 'MMC' 'COP' 'ADI' 'MDT' 'LMT' 'KKR' 'CRWD'
 'MU' 'LRCX' 'BX' 'KLAC' 'APH' 'ICE' 'AMT']",5940.4599609375,-0.0006967903676766696,-0.0038802294486252054,0.020325514105291598,,,329.7979,-0.0006967903676767242,2,0.9801980198019802
2025-05-21,325.543,5844.6099,"['MSFT' 'NVDA' 'AAPL' 'AMZN' 'META' 'AVGO' 'TSLA' 'GOOGL' 'GOOG' 'WMT'
 'JPM' 'BRK-B' 'LLY' 'V' 'MA' 'NFLX' 'COST' 'XOM' 'ORCL' 'PG' 'HD' 'JNJ'
 'BAC' 'ABBV' 'KO' 'UNH' 'PLTR' 'TMUS' 'PM' 'CRM' 'CSCO' 'GE' 'IBM' 'WFC'
 'CVX' 'ABT' 'MCD' 'LIN' 'NOW' 'MS' 'AXP' 'DIS' 'ACN' 'T' 'ISRG' 'MRK'
 'UBER' 'VZ' 'INTU' 'GS' 'RTX' 'PEP' 'ADBE' 'BKNG' 'TXN' 'QCOM' 'PGR'
 'CAT' 'SCHW' 'SPGI' 'BSX' 'BA' 'TMO' 'BLK' 'TJX' 'NEE' 'AMGN' 'SYK' 'HON'
 'DE' 'C' 'DHR' 'GILD' 'UNP' 'PFE' 'CMCSA' 'ADP' 'AMAT' 'LOW' 'ETN' 'GEV'
 'PANW' 'COF' 'CB' 'ANET' 'MMC' 'VRTX' 'COP' 'ADI' 'LMT' 'CRWD' 'MDT' 'MU'
 'LRCX' 'KKR' 'APH' 'KLAC' 'CME' 'BX' 'ICE']",5844.60986328125,-0.012213257290374924,-0.01613513066101424,0.007864016081589709,,,329.7979,-0.012901537578013747,2,0.9801980198019802
